REQ_ID,AREA,FILE,ANCHOR,STATEMENT,TYPE,PRIORITY,STATUS,MILESTONE,ACCEPTANCE
REQ-SCOPE-001,SCOPE,06 - Handoff/START_HERE — Economic Simulation Implementation Handoff.md,Canonical product boundary,The product is a deterministic autonomous economic simulation with no player-controlled economy.,functional,P0,FROZEN,,Canonical mode advances without any player decision/input after run configuration.
REQ-SCOPE-002,SCOPE,06 - Handoff/START_HERE — Economic Simulation Implementation Handoff.md,Hard v1 exclusions,Core v1 must preserve the explicit hard exclusions and must not add forbidden systems.,non-goal,P0,FROZEN,,"Code review finds no canonical dependency on excluded banks/private credit, individuals, speculative FX, multi-hop routing, warfare, housing/property, or unbounded transaction history."
REQ-MIGRATION-001,MIGRATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 0 — Baseline lock and migration scaffolding,Lock the existing repository baseline before introducing canonical behavior.,functional,P0,READY,M0,dotnet build succeeds and all existing tests pass unchanged.
REQ-MIGRATION-002,MIGRATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 0 — Baseline lock and migration scaffolding,Record a reproducible seeded legacy baseline independent of console formatting.,acceptance,P0,READY,M0,"A representative 30-turn legacy baseline uses a fixed documented seed and checks in the expected normalized snapshot/hash; repeated same-seed runs on the same runtime must reproduce that exact value, and a different seed must not collapse to the same hash."
REQ-MIGRATION-003,MIGRATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 0 — Baseline lock and migration scaffolding,"Add canonical TypeScript/Vite-capable Config, Domain, Simulation and Diagnostics scaffolding without moving legacy C# classes or adding canonical economics yet.",functional,P0,READY,M0,Legacy .NET build/tests remain green; canonical TypeScript scaffolding builds/tests independently; no canonical subsystem behavior is introduced in M0.
REQ-MIGRATION-004,MIGRATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Non-negotiable migration rules,Legacy and canonical stocks must remain separate during migration; no bidirectional mutation mirroring.,invariant,P0,FROZEN,M0,No adapter or runtime path writes the same authoritative stock into both legacy and canonical worlds.
REQ-CORE-001,CORE,06 - Handoff/01 — CORE_SCHEMA_AND_LIFECYCLES.md,2. Numeric and identity conventions,Implement opaque persistent typed IDs; IDs are never array indexes and are never reused within a run.,invariant,P0,READY,M1,Tests prove deterministic ID creation and that a retired ID cannot bind to a new lifecycle instance.
REQ-CORE-002,CORE,06 - Handoff/01 — CORE_SCHEMA_AND_LIFECYCLES.md,2. Numeric and identity conventions,"Canonical numeric state must contain only finite values, and any result-sensitive iteration must use stable deterministic ordering rather than insertion or map order.",invariant,P0,READY,M1,Tests reject NaN/Infinity in canonical state and prove that shuffled insertion/enumeration order does not change normalized results where ordering can affect outcomes.
REQ-VISUALIZATION-001,VISUALIZATION,06 - Handoff/13 — VISUALIZATION_AND_EXPLAINABILITY.md,"13. Timeline, replay and comparison",Retention that invalidates the active selected tick or compare baseline must produce an explicit unavailable state and must never silently substitute another tick.,acceptance,P1,FROZEN,,Visualization test 47 passes: detail-only eviction preserves aggregate T; evicted B disables compare without substitution; evicted aggregate T shows unavailable selection until explicit user navigation.
REQ-CONFIG-001,CONFIG,06 - Handoff/03 — CANONICAL_CONFIG_AND_WORLD_GENERATION.md,2. Configuration hierarchy,"Use the four canonical configuration layers: RunOptions, SimulationConfig, ScenarioDefinition and DefinitionPack.",config,P0,READY,M1,Schema/validation tests demonstrate the four ownership boundaries and reject arbitrary scenario behavioral patches.
REQ-CONFIG-002,CONFIG,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,"Milestone 1 — Canonical primitives, config and world genesis",Implement keyed deterministic RNG using seed + tick + phase + entity/event key so unrelated iteration order cannot change results.,invariant,P0,READY,M1,Keyed RNG tests remain identical under shuffled unrelated enumeration and repeated runs.
REQ-CORE-003,CORE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,"Milestone 1 — Canonical primitives, config and world genesis",Implement stable registries for canonical world entities and definitions needed by the baseline scenario.,functional,P0,READY,M1,Baseline genesis creates exactly scenario-defined entity counts and IDs.
REQ-CONFIG-003,CONFIG,06 - Handoff/03 — CANONICAL_CONFIG_AND_WORLD_GENERATION.md,Canonical baseline scenario,Provide the baseline definition pack and baseline-multistate-v1 scenario using canonical defaults and deterministic variation.,config,P0,READY,M1,Same scenario/config/seed builds a field-equivalent world after normalized ordering; variation changes only permitted fields. M1 concretizes RecipeDefinition and FX-pool opening-stock data inside Handoff/03; later-owned policy/clan/bond/event/metric payloads may remain intentionally empty/omitted and must not affect behavior before their owning milestone. Later material ScenarioDefinition/DefinitionPack concretization requires the corresponding version to advance.
REQ-CONFIG-004,CONFIG,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,"Milestone 1 — Canonical primitives, config and world genesis","World genesis must record opening stocks in WorldGenesisLedger and reconcile money, goods, population, capital and resources.",invariant,P0,READY,M1,Opening stock reconciliation passes within canonical tolerances for every tracked stock category.
REQ-CONFIG-005,CONFIG,06 - Handoff/03 — CANONICAL_CONFIG_AND_WORLD_GENERATION.md,Validation,"Invalid references, non-finite values and out-of-range configuration fail fast with useful diagnostics; do not silently coerce.",invariant,P0,READY,M1,Negative/invalid cross-reference and numeric cases fail before canonical world execution.
